method ConCaseRatio nmatch exptype beta ncov pfail bias bias.SE MSE MSE.se cover cover.se test.rej test.rej.se
CLR 4 20 binary0.1 0 0 0 -2.09576592794062 0.0627594024755988 43.7757220730598 1.17531845926764 0.9742 0.00158538197290117 0.0258 0.00158538197290117
CLR 1 30 binary0.1 0 0 0.0027 0.0533608525999368 0.0757966858939439 57.2933594530534 1.38253573808116 0.9784 0.00145570102589348 0.0216 0.00145570102589348
CLR 4 30 binary0.1 0 0 0 -0.813183765534347 0.0383558168970429 15.3714835662336 0.721887539119158 0.9674 0.00177587274318854 0.0326 0.00177587274318854
CLR 1 40 binary0.1 0 0 3e-04 -0.00037194434701067 0.0502279570237585 25.2183854154804 0.943535104741115 0.9575 0.00201757185221584 0.0425 0.00201757185221584
CLR 4 40 binary0.1 0 0 0 -0.358435247781993 0.0240866964508638 5.9295851170672 0.445681026669534 0.96 0.00195959179422654 0.04 0.00195959179422654
CLR 1 50 binary0.1 0 0 0 0.00906365653700401 0.0320779993540149 10.2890335773894 0.603542018756005 0.9465 0.00225028331549607 0.0535 0.00225028331549607
CLR 4 50 binary0.1 0 0 0 -0.152718097505457 0.0140471248567421 1.99634266299794 0.244381226211335 0.9471 0.00223833844625874 0.0529 0.00223833844625874
CLR 1 10 binary0.2 0 0 0.0234 0.0387131771630323 0.130739197912521 166.912084018532 2.14830199513207 0.9993 0.000267632347671914 7e-04 0.000267632347671908
CLR 4 10 binary0.2 0 0 0 -1.9204914786562 0.0650606810439539 46.0129768064044 1.25999254950496 0.9779 0.00147008809259854 0.0221 0.00147008809259854
CLR 1 20 binary0.2 0 0 0.001 -0.0231860656644865 0.0596091056420769 35.4939066478952 1.16298037890517 0.9749 0.00156507138765248 0.0251 0.00156507138765248
CLR 4 20 binary0.2 0 0 0 -0.298714027986487 0.0232531681122035 5.49578763323262 0.440243653859662 0.954 0.00209485083001153 0.046 0.00209485083001153
CLR 1 30 binary0.2 0 0 0 0.000779996529078584 0.0309741454332733 9.59301806392466 0.611851513209171 0.9443 0.00229341470301383 0.0557 0.00229341470301383
CLR 4 30 binary0.2 0 0 0 -0.0897207567588838 0.00910195823469723 0.836423405611408 0.13800106717902 0.944 0.00229921725811199 0.056 0.00229921725811199
CLR 1 40 binary0.2 0 0 0 0.0183911884229034 0.01439346612383 2.07184973452293 0.262761389686025 0.9358 0.00245108873768373 0.0642 0.00245108873768373
CLR 4 40 binary0.2 0 0 0 -0.036542181521133 0.0054166440476452 0.294706318386485 0.0384617347264831 0.9487 0.00220608952674183 0.0513 0.00220608952674183
CLR 1 50 binary0.2 0 0 0 -0.0106047889126938 0.00884253897337574 0.781939226009065 0.135737079883182 0.9414 0.00234874519690834 0.0586 0.00234874519690834
CLR 4 50 binary0.2 0 0 0 -0.020891398367246 0.00444862336312294 0.198319158545145 0.00309611676397903 0.947 0.00224033479640879 0.053 0.00224033479640879
CLR 1 10 continuous 0.5 0 0.0101 0.397618870415906 0.0528126804212255 27.7653966191017 12.4581631161347 0.939987937273824 0.00238717773584879 0.20205066344994 0.00403573031665202
CLR 4 10 continuous 0.5 0 0 0.0593919921306734 0.0044980491909804 0.205831641527521 0.00503828018600347 0.9454 0.00227197799285116 0.2926 0.00454956305594285
CLR 1 20 continuous 0.5 0 1e-04 0.0961505310438891 0.00611880060328678 0.383567253406202 0.096800044051658 0.9376 0.00241892726656096 0.3508 0.0047724431501446
CLR 4 20 continuous 0.5 0 0 0.0246889408762778 0.0028587296173623 0.0823247217184106 0.00154404860854989 0.947 0.00224033479640879 0.5147 0.0049978386328492
CLR 1 30 continuous 0.5 0 0 0.0532759836732677 0.00351074115458643 0.126079039677968 0.0028149618824167 0.9414 0.00234874519690834 0.4756 0.00499404285123786
CLR 4 30 continuous 0.5 0 0 0.0189766342101536 0.00227894105842796 0.0522906425514855 0.000853414505269046 0.9479 0.00222228688517032 0.6871 0.00463674012642503
CLR 1 40 continuous 0.5 0 0 0.0450473676526003 0.00283573780210676 0.0824353127465187 0.00188191867804329 0.9501 0.00217738352156895 0.6048 0.00488893608058031
CLR 4 40 continuous 0.5 0 0 0.0133185295541458 0.00192939022014351 0.0373991268987171 0.000593944293969467 0.9479 0.00222228688517032 0.8068 0.00394808510546569
CLR 1 50 continuous 0.5 0 0 0.0287412221753277 0.00247444218821755 0.0620485764162972 0.00111311734802998 0.9471 0.00223833844625874 0.6815 0.00465894569618492
CLR 4 50 continuous 0.5 0 0 0.00722785838941587 0.00170995036018984 0.0292886203497969 0.00044882481419217 0.9512 0.00215449669296567 0.8812 0.00323553025020629
CLR 1 10 binary0.05 0.5 0 0.0294 4.79308909971899 0.172775310533543 312.680646578125 1.80581354231824 1 0 0 0
CLR 4 10 binary0.05 0.5 0 0 -4.91207823940414 0.131303591732171 196.517604014523 1.80957303673158 0.9983 0.000411959949509662 0.0126 0.00111540306616039
CLR 1 20 binary0.05 0.5 0 0.0138 3.67356461848834 0.138482971384561 202.604733503642 1.93345965875862 0.9989 0.000333791174789673 5e-04 0.000225109540923354
CLR 4 20 binary0.05 0.5 0 0 -2.93437337447358 0.0872694841887613 84.7625598436771 1.51284369106303 0.9822 0.0013222390101642 0.0597 0.0023693017958884
