method ConCaseRatio nmatch exptype beta ncov pfail bias bias.SE MSE MSE.se cover cover.se test.rej test.rej.se
CLR 4 20 binary0.1 0.5 0 0.0453 0.107236813808663 0.0209591338427668 4.20491712631271 0.699957194781823 0.96323452393422 0.00192598391466143 0.098564994239028 0.00305066906909116
CLR 1 30 binary0.1 0.5 0 0.0961 0.368462006532859 0.0420748762210985 16.1356923493877 1.47713068887579 0.982077663458347 0.00139543636866116 0.0599623852196039 0.0024971916426364
CLR 4 30 binary0.1 0.5 0 0.0087 -0.0362145716996807 0.00782660998513476 0.608479221297879 0.127632705407767 0.953697165338445 0.00211060266650165 0.121355795420155 0.00327970084631036
CLR 1 40 binary0.1 0.5 0 0.0474 0.118322064609411 0.0220209365070987 4.63287877626157 0.73899810327919 0.967037581356288 0.00182926204305947 0.105815662397649 0.00315161543061417
CLR 4 40 binary0.1 0.5 0 0.0015 -0.044694760635715 0.00708445485532221 0.503089595589712 0.133341454371672 0.944116174261392 0.00229869710673792 0.14171256885328 0.00349016956516712
CLR 1 50 binary0.1 0.5 0 0.0223 0.059649182173767 0.0142197943521924 1.98029016760265 0.440187913289404 0.953462207221029 0.00213035423981447 0.133783369131635 0.00344279779109961
CLR 4 50 binary0.1 0.5 0 5e-04 -0.0352077250927284 0.00538609911565531 0.291166160360734 0.00515226243052589 0.944472236118059 0.00229064765194342 0.177488744372186 0.00382177340711413
CLR 1 10 binary0.2 0.5 0 0.3414 -0.257207517129685 0.00879545810508329 0.575571855255474 0.00926494587134017 0.996659580929244 0.000710989254411647 0.00364409353173398 0.000742490915432533
CLR 4 10 binary0.2 0.5 0 0.0512 0.190523452320918 0.0287811559679126 7.89490249074773 0.989690213472633 0.972913153456998 0.0016665905814077 0.0752529510961214 0.00270823225916602
CLR 1 20 binary0.2 0.5 0 0.0844 -0.0298047390517387 0.0107022737936049 1.04948979462421 0.24429138936856 0.978156400174749 0.00152761306582883 0.0739405854084753 0.00273468920298226
CLR 4 20 binary0.2 0.5 0 0.0017 -0.0208601512255192 0.00776277931639565 0.601957879690879 0.133336625354502 0.946008213963738 0.00226193835645579 0.126014224181108 0.0033214783937787
CLR 1 30 binary0.2 0.5 0 0.0212 0.0337265683986608 0.00734904873884978 0.529718840876884 0.00785398758070784 0.954127503064978 0.00211462039805438 0.13342868818962 0.00343700197354677
CLR 4 30 binary0.2 0.5 0 0 -0.0166934442995621 0.00541829972509153 0.293829032219942 0.0046636423740734 0.9489 0.0022020170299069 0.1703 0.00375896142571322
CLR 1 40 binary0.2 0.5 0 0.0058 0.0417497986774664 0.00657258946318425 0.431183631202382 0.00692769980285911 0.940253470126735 0.00237706980907686 0.165560249446791 0.00372768021748823
CLR 4 40 binary0.2 0.5 0 0 -0.0103881142595369 0.00456745154144857 0.208703187139094 0.00321793895557421 0.9496 0.00218768919181862 0.2081 0.00405948752923322
CLR 1 50 binary0.2 0.5 0 0.0013 0.0418748758940453 0.00573782495452977 0.330518940426464 0.00555763074095564 0.942825673375388 0.00232326475607674 0.176028837488735 0.00381092491127721
CLR 4 50 binary0.2 0.5 0 0 -0.00625592196414573 0.00399232445176295 0.159409743186538 0.00244968767365115 0.9513 0.00215240121724552 0.241 0.0042769030851774
CLR 1 10 continuous 1 0 0.0622 0.466399732329035 0.018443778399307 3.4073305716406 0.363012603493969 0.964064832586906 0.00192201973424516 0.526124973341864 0.00515609909079216
CLR 4 10 continuous 1 0 0.0012 0.151768726951589 0.00742752658339106 0.573998071985403 0.107310971201959 0.94142971565879 0.00234959684621588 0.781938325991189 0.00413177491042543
CLR 1 20 continuous 1 0 0.0042 0.257056991928296 0.0111568182473384 1.30547182362428 0.170431108551064 0.943261699136373 0.00231829235029658 0.844647519582245 0.00363003481611384
CLR 4 20 continuous 1 0 0 0.062865656998545 0.00362619500227756 0.135431843485091 0.00303873330149342 0.9479 0.00222228688517032 0.9745 0.001576380347505
CLR 1 30 continuous 1 0 3e-04 0.139189133470189 0.00547551883357409 0.319066754618441 0.0137337759292323 0.944583375012504 0.00228825984236515 0.960988296488947 0.00193651854657947
CLR 4 30 continuous 1 0 0 0.038913259947774 0.00281586596671797 0.0807973241238261 0.00160977076647081 0.9479 0.00222228688517032 0.9984 0.000399679871897503
CLR 1 40 continuous 1 0 0 0.0910331516249086 0.00416944316960321 0.182112213883928 0.00648025943978195 0.9493 0.00219384388687983 0.99 0.00099498743710662
CLR 4 40 continuous 1 0 0 0.0307018067265389 0.00239221710787753 0.0581639051458021 0.00103836414747501 0.9496 0.00218768919181862 1 0
CLR 1 50 continuous 1 0 0 0.0773410708020885 0.00358627478985775 0.134582448549638 0.00521524490756698 0.9411 0.00235437443920885 0.9978 0.00046852534616603
CLR 4 50 continuous 1 0 0 0.0245875329234647 0.00209429647572507 0.0444609379798787 0.000735406024021558 0.9488 0.00220405444578849 0.9999 9.99949998749882e-05
CLR 1 10 binary0.05 1 0 0.7753 -0.815114748771699 0.010099258878461 0.893492890807456 0.0171280716918974 0.990209167779261 0.00207716855495179 0 0
CLR 4 10 binary0.05 1 0 0.3339 8.30298822990886 0.183553410135959 293.327363667121 6.56356104189421 0.997898213481459 0.000561135450529059 0.0555472151328629 0.00280641281060199
CLR 1 20 binary0.05 1 0 0.4175 5.83494308677023 0.180891807243913 224.618591510347 6.29475034495404 0.978025751072961 0.0019208090798474 0.00927038626609442 0.001255678685874
CLR 4 20 binary0.05 1 0 0.1011 2.08458200902851 0.0878438949421683 73.7018324613195 3.1251377383022 0.968739570586272 0.00183546158524338 0.183446434531094 0.00408217188365169
